,0,1,2,3,4,5,6,7,Single Core IPC,Raw IPC,Weighted speedup
600.perlbench_s-570B,0.552325,0.55249,0.553305,0.55259,0.553986,0.552589,0.553391,0.551729,0.578788,4.4224049999999995,7.640802850093643
602.gcc_s-734B,0.396952,0.396951,0.396982,0.39655,0.396979,0.396983,0.396971,0.396974,0.403896,3.175342,7.861781250618972
602.gcc_s-1850B,0.344431,0.344411,0.344446,0.344432,0.344433,0.344467,0.344469,0.3444,0.350527,2.755489,7.8609893103812265
602.gcc_s-2226B,0.180367,0.181516,0.180775,0.181525,0.180784,0.17986,0.180328,0.179721,0.414943,1.4448759999999998,3.482107180986304
603.bwaves_s-891B,0.432162,0.433995,0.433984,0.43575,0.433627,0.433496,0.435698,0.430984,0.77138,3.469696,4.498037283828982
603.bwaves_s-1740B,0.937398,0.938041,0.939961,0.93768,0.938717,0.938345,0.939151,0.938612,1.32954,7.507905,5.646994449207997
603.bwaves_s-2609B,0.937643,0.939165,0.939933,0.939384,0.937737,0.936989,0.940232,0.938882,1.33132,7.509964999999999,5.640991647387555
603.bwaves_s-2931B,0.627715,0.628574,0.62831,0.629059,0.628877,0.629517,0.629142,0.628237,1.52375,5.029431000000001,3.3006930270713704
605.mcf_s-472B,0.209202,0.209279,0.214219,0.214231,0.210854,0.209331,0.209232,0.210793,0.51089,1.687141,3.3023566716905797
605.mcf_s-484B,0.270116,0.269712,0.269646,0.269611,0.270108,0.269962,0.269748,0.27025,0.507947,2.159153,4.250744664305527
605.mcf_s-665B,0.242869,0.243161,0.24088,0.241771,0.241815,0.246425,0.246428,0.240891,0.298346,1.9442400000000002,6.516728898661286
605.mcf_s-1152B,0.183081,0.184223,0.185951,0.183753,0.182813,0.182188,0.182199,0.18279,0.295779,1.466998,4.9597774013706175
605.mcf_s-1536B,0.111203,0.111326,0.111197,0.111079,0.111135,0.111226,0.111267,0.111099,0.24976,0.889532,3.5615470852017936
605.mcf_s-1554B,0.125199,0.12378,0.124171,0.124216,0.123721,0.123923,0.123897,0.123713,0.603586,0.99262,1.644537812341572
607.cactuBSSN_s-2421B,1.36915,1.36713,1.35939,1.42213,1.40735,1.37074,1.36532,1.37627,1.56678,11.03748,7.044690384099874
607.cactuBSSN_s-3477B,1.18808,1.18676,1.18801,1.18828,1.18685,1.18779,1.18796,1.18845,1.19507,9.50218,7.951149305061627
607.cactuBSSN_s-4004B,1.173,1.17335,1.17191,1.17282,1.17229,1.17271,1.1722,1.17151,1.18074,9.37979,7.943992750309128
619.lbm_s-2676B,0.266027,0.266428,0.266326,0.265952,0.265557,0.265908,0.26553,0.265251,1.33249,2.126979,1.5962438742504634
619.lbm_s-2677B,0.122758,0.122743,0.122762,0.122213,0.122789,0.122561,0.122913,0.122591,0.632772,0.98133,1.5508429576529936
619.lbm_s-3766B,0.123201,0.12315,0.123163,0.123145,0.123185,0.12331,0.123302,0.122877,0.635375,0.985333,1.550789691127287
619.lbm_s-4268B,0.123858,0.123676,0.123948,0.123704,0.123825,0.123986,0.124027,0.123611,0.635157,0.9906349999999999,1.559669499037246
620.omnetpp_s-141B,0.189945,0.189565,0.189643,0.190113,0.189954,0.189644,0.189549,0.189652,0.232925,1.518065,6.517398304175164
620.omnetpp_s-874B,0.202251,0.202512,0.202244,0.202505,0.202698,0.202707,0.202327,0.202606,0.244487,1.61985,6.62550565060719
621.wrf_s-6673B,0.52065,0.520576,0.520012,0.520895,0.519391,0.520748,0.518936,0.518427,1.24164,4.159635,3.350113559485841
621.wrf_s-8065B,0.521209,0.522882,0.522136,0.518762,0.52141,0.522218,0.520955,0.521949,1.40077,4.171521,2.9780199461724624
623.xalancbmk_s-10B,0.2008,0.200573,0.200697,0.200691,0.200385,0.200948,0.200419,0.20039,0.350729,1.604903,4.5759061839768025
623.xalancbmk_s-165B,0.597267,0.601635,0.602982,0.599158,0.601035,0.601637,0.601012,0.60075,0.624129,4.8054760000000005,7.6994916115098
623.xalancbmk_s-202B,0.451415,0.45057,0.44963,0.449949,0.450217,0.450698,0.450118,0.451398,0.623824,3.603995,5.77726249711457
