,0,1,2,3,4,5,6,7
bc-0,0.0485323,0.0485671,0.0486032,0.0485448,0.0484978,0.0485055,0.0485203,0.0484897
bc-3,0.0514758,0.0514691,0.0514781,0.0514777,0.0515265,0.0515152,0.0514797,0.051534
bc-5,0.169339,0.169395,0.169404,0.169441,0.169436,0.16944,0.169463,0.169467
bc-12,0.0499805,0.0499506,0.0499221,0.049941,0.0499977,0.0499925,0.049974,0.0499641
bfs-3,0.227223,0.227333,0.227183,0.227322,0.227577,0.227524,0.227696,0.227737
bfs-8,0.251897,0.251879,0.253123,0.252993,0.253176,0.252823,0.253467,0.253464
bfs-10,0.225384,0.22533,0.225414,0.225505,0.225324,0.225438,0.225398,0.225509
bfs-14,0.272538,0.272245,0.272535,0.272223,0.273684,0.273957,0.274202,0.274356
cc-5,0.0778345,0.0778286,0.0777875,0.0778207,0.0778449,0.0778347,0.077844,0.0778764
cc-6,0.0616011,0.0616029,0.0616046,0.0616189,0.0616168,0.0616288,0.0616227,0.0616383
cc-13,0.0665325,0.0665483,0.0665239,0.066533,0.0665435,0.066537,0.0665795,0.0665866
cc-14,0.0720657,0.0720827,0.0720772,0.0720854,0.0721134,0.0721177,0.0721054,0.0721173
pr-3,0.0217766,0.0217589,0.0217568,0.0217709,0.0218041,0.0217572,0.0217978,0.0217912
pr-5,0.0216493,0.0216596,0.0216558,0.0216539,0.0216483,0.0216534,0.0216495,0.0216284
pr-10,0.0216519,0.0216518,0.0216558,0.0216435,0.0216445,0.021645,0.0216397,0.0216377
pr-14,0.0216895,0.0217059,0.0216852,0.0216924,0.0216963,0.0216917,0.0217044,0.0216857
sssp-3,0.108272,0.108219,0.108229,0.108222,0.108169,0.108619,0.108138,0.10861
sssp-5,0.108348,0.108353,0.108327,0.108211,0.108465,0.108314,0.108501,0.108479
sssp-10,0.108219,0.108207,0.108122,0.108131,0.108107,0.108237,0.10854,0.108561
sssp-14,0.108402,0.108542,0.108473,0.108515,0.108557,0.108939,0.108797,0.108916
