,0,1,2,3,4,5,6,7
600.perlbench_s-570B,0.554996,0.555403,0.555619,0.55548,0.556151,0.555867,0.556153,0.554324
602.gcc_s-734B,0.39891,0.398918,0.398089,0.39892,0.398846,0.39889,0.398883,0.398884
602.gcc_s-1850B,0.344864,0.344886,0.344883,0.344868,0.344902,0.344866,0.344884,0.344856
602.gcc_s-2226B,0.181464,0.181167,0.181428,0.180971,0.181207,0.180878,0.180475,0.180456
603.bwaves_s-891B,0.433045,0.43278,0.43388,0.432929,0.436413,0.434118,0.433446,0.43636
603.bwaves_s-1740B,0.936768,0.935906,0.937346,0.937922,0.936178,0.938843,0.937115,0.937805
603.bwaves_s-2609B,0.938862,0.938729,0.939366,0.939346,0.938032,0.940554,0.937427,0.936638
603.bwaves_s-2931B,0.638327,0.637867,0.637589,0.638418,0.637038,0.636928,0.638617,0.637969
605.mcf_s-472B,0.204387,0.204448,0.204502,0.204493,0.204352,0.204454,0.204494,0.204513
605.mcf_s-484B,0.274078,0.274195,0.273922,0.274175,0.274127,0.274314,0.274393,0.274127
605.mcf_s-665B,0.243684,0.242885,0.241762,0.24244,0.242779,0.245238,0.245521,0.242782
605.mcf_s-1152B,0.218395,0.218349,0.219313,0.220569,0.21932,0.217389,0.21762,0.218014
605.mcf_s-1536B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605.mcf_s-1554B,0.122474,0.122191,0.122445,0.122596,0.122055,0.122388,0.12169,0.122531
607.cactuBSSN_s-2421B,1.28164,1.19437,1.24952,1.16944,1.18525,1.18594,1.17323,1.19627
607.cactuBSSN_s-3477B,1.18076,1.18077,1.18194,1.18274,1.18153,1.18006,1.18289,1.18132
607.cactuBSSN_s-4004B,1.16718,1.1652,1.16568,1.16586,1.16548,1.16612,1.16596,1.16652
619.lbm_s-2676B,0.285217,0.285341,0.285581,0.285417,0.286768,0.285145,0.286948,0.286363
619.lbm_s-2677B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619.lbm_s-3766B,0.132206,0.131944,0.131556,0.131714,0.131896,0.131735,0.131306,0.131297
619.lbm_s-4268B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620.omnetpp_s-141B,0.192073,0.192241,0.192435,0.192514,0.192259,0.192258,0.192259,0.192076
620.omnetpp_s-874B,0.2041,0.203882,0.204067,0.204435,0.203877,0.204299,0.2041,0.204295
621.wrf_s-6673B,0.534206,0.534685,0.534502,0.533234,0.533956,0.534997,0.532836,0.532967
621.wrf_s-8065B,0.550066,0.544322,0.548193,0.550532,0.546559,0.545067,0.546818,0.547958
623.xalancbmk_s-10B,0.208952,0.207617,0.208759,0.20782,0.207855,0.20764,0.208483,0.207686
623.xalancbmk_s-165B,0.594619,0.594868,0.594813,0.592747,0.595605,0.594557,0.594716,0.597503
623.xalancbmk_s-202B,0.463706,0.463545,0.463564,0.463475,0.463618,0.463331,0.463219,0.463509
625.x264_s-20B,1.25899,1.25898,1.25898,1.25899,1.25897,1.25898,1.25898,1.25898
627.cam4_s-490B,0.608625,0.6164,0.607468,0.605405,0.602064,0.598624,0.603946,0.596904
628.pop2_s-17B,0.951634,0.967165,0.990543,0.951598,0.965965,0.952285,0.952177,0.951729
649.fotonik3d_s-1176B,0.59109,0.591472,0.589213,0.590554,0.591113,0.589674,0.589069,0.588447
649.fotonik3d_s-7084B,0.62745,0.630396,0.627216,0.630977,0.631053,0.630836,0.625231,0.627225
649.fotonik3d_s-8225B,0.589359,0.587812,0.589433,0.587195,0.590032,0.590099,0.589106,0.588704
654.roms_s-293B,1.00895,1.0071,1.0075,1.00867,1.0081,1.00952,1.00718,1.00754
654.roms_s-294B,1.01237,1.01121,1.01166,1.01184,1.01411,1.01292,1.01307,1.01146
654.roms_s-523B,0.38863,0.388741,0.388288,0.387213,0.387165,0.385031,0.386434,0.387116
654.roms_s-1007B,0.474987,0.47523,0.475602,0.475249,0.475218,0.475156,0.47505,0.475331
654.roms_s-1070B,0.458526,0.457129,0.452866,0.455115,0.452624,0.456991,0.458545,0.455712
654.roms_s-1390B,0.35612,0.357128,0.35583,0.350667,0.356932,0.355744,0.356042,0.357164
657.xz_s-2302B,0.625463,0.625507,0.624718,0.624353,0.624745,0.624053,0.62379,0.621827
