,0,1,2,3,4,5,6,7
bc-0,0.0509008,0.0509307,0.0509794,0.0509353,0.0508472,0.0509071,0.0508906,0.05091
bc-3,0.0545466,0.0545415,0.0545412,0.0545412,0.054538,0.0545712,0.0545733,0.0545801
bc-5,0.164269,0.164342,0.164364,0.164326,0.164415,0.164411,0.164408,0.164467
bc-12,0.0523782,0.0523289,0.0523436,0.0523634,0.0523462,0.0523404,0.0523274,0.0523774
bfs-3,0.224746,0.224751,0.224865,0.224798,0.224873,0.225346,0.224919,0.225336
bfs-8,0.245654,0.245676,0.245556,0.245691,0.246526,0.246423,0.246939,0.246935
bfs-10,0.223347,0.22336,0.223354,0.223363,0.223231,0.223201,0.223222,0.223252
bfs-14,0.266191,0.26631,0.266374,0.266369,0.266356,0.267043,0.266794,0.267699
cc-5,0.0840432,0.084057,0.0840818,0.0841176,0.0841015,0.0840299,0.0840304,0.0840646
cc-6,0.0666247,0.0665951,0.0666087,0.0666106,0.0666157,0.0665806,0.06663,0.0665959
cc-13,0.0718763,0.0718926,0.0718938,0.071908,0.0719456,0.0719517,0.0719467,0.0719724
cc-14,0.078013,0.0779642,0.0779596,0.0779636,0.0780002,0.0780145,0.0780277,0.0780185
pr-3,0.0237242,0.0237219,0.0237114,0.0237181,0.0237488,0.0237061,0.0237578,0.0237573
pr-5,0.0236173,0.0236193,0.0236092,0.0236168,0.0236017,0.0236001,0.0235963,0.0236002
pr-10,0.0236019,0.0236078,0.0236093,0.0236146,0.0235971,0.023582,0.0235951,0.0235892
pr-14,0.0236239,0.0236403,0.0236399,0.0236293,0.0236442,0.0236365,0.0236385,0.0236361
sssp-3,0.114443,0.114407,0.114399,0.114268,0.114277,0.114277,0.114263,0.114297
sssp-5,0.11498,0.115127,0.115072,0.114108,0.114762,0.115208,0.115087,0.115203
sssp-10,0.114296,0.114174,0.114203,0.11421,0.114292,0.115133,0.115133,0.115157
sssp-14,0.114415,0.114849,0.114859,0.115329,0.115404,0.115326,0.115238,0.115324
