,0,1,2,3,4,5,6,7
600.perlbench_s-570B,0.552325,0.55249,0.553305,0.55259,0.553986,0.552589,0.553391,0.551729
602.gcc_s-734B,0.396952,0.396951,0.396982,0.39655,0.396979,0.396983,0.396971,0.396974
602.gcc_s-1850B,0.344431,0.344411,0.344446,0.344432,0.344433,0.344467,0.344469,0.3444
602.gcc_s-2226B,0.180367,0.181516,0.180775,0.181525,0.180784,0.17986,0.180328,0.179721
603.bwaves_s-891B,0.432162,0.433995,0.433984,0.43575,0.433627,0.433496,0.435698,0.430984
603.bwaves_s-1740B,0.937398,0.938041,0.939961,0.93768,0.938717,0.938345,0.939151,0.938612
603.bwaves_s-2609B,0.937643,0.939165,0.939933,0.939384,0.937737,0.936989,0.940232,0.938882
603.bwaves_s-2931B,0.627715,0.628574,0.62831,0.629059,0.628877,0.629517,0.629142,0.628237
605.mcf_s-472B,0.209202,0.209279,0.214219,0.214231,0.210854,0.209331,0.209232,0.210793
605.mcf_s-484B,0.270116,0.269712,0.269646,0.269611,0.270108,0.269962,0.269748,0.27025
605.mcf_s-665B,0.242869,0.243161,0.24088,0.241771,0.241815,0.246425,0.246428,0.240891
605.mcf_s-1152B,0.183081,0.184223,0.185951,0.183753,0.182813,0.182188,0.182199,0.18279
605.mcf_s-1536B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605.mcf_s-1554B,0.125199,0.12378,0.124171,0.124216,0.123721,0.123923,0.123897,0.123713
607.cactuBSSN_s-2421B,1.36915,1.36713,1.35939,1.42213,1.40735,1.37074,1.36532,1.37627
607.cactuBSSN_s-3477B,1.18808,1.18676,1.18801,1.18828,1.18685,1.18779,1.18796,1.18845
607.cactuBSSN_s-4004B,1.173,1.17335,1.17191,1.17282,1.17229,1.17271,1.1722,1.17151
619.lbm_s-2676B,0.266027,0.266428,0.266326,0.265952,0.265557,0.265908,0.26553,0.265251
619.lbm_s-2677B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619.lbm_s-3766B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619.lbm_s-4268B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620.omnetpp_s-141B,0.189945,0.189565,0.189643,0.190113,0.189954,0.189644,0.189549,0.189652
620.omnetpp_s-874B,0.202251,0.202512,0.202244,0.202505,0.202698,0.202707,0.202327,0.202606
621.wrf_s-6673B,0.52065,0.520576,0.520012,0.520895,0.519391,0.520748,0.518936,0.518427
621.wrf_s-8065B,0.521209,0.522882,0.522136,0.518762,0.52141,0.522218,0.520955,0.521949
623.xalancbmk_s-10B,0.2008,0.200573,0.200697,0.200691,0.200385,0.200948,0.200419,0.20039
623.xalancbmk_s-165B,0.597267,0.601635,0.602982,0.599158,0.601035,0.601637,0.601012,0.60075
623.xalancbmk_s-202B,0.451415,0.45057,0.44963,0.449949,0.450217,0.450698,0.450118,0.451398
625.x264_s-20B,1.26098,1.26098,1.26099,1.261,1.26099,1.26099,1.26098,1.26098
627.cam4_s-490B,0.614732,0.617731,0.615238,0.620604,0.627479,0.619772,0.616744,0.621848
628.pop2_s-17B,0.956019,0.978025,0.987333,0.966232,0.956116,0.966566,0.958403,0.955039
649.fotonik3d_s-1176B,0.56742,0.566828,0.567778,0.567102,0.568345,0.56777,0.56643,0.56652
649.fotonik3d_s-7084B,0.610001,0.611893,0.61251,0.609452,0.606841,0.613586,0.612152,0.609886
649.fotonik3d_s-8225B,0.565711,0.56533,0.566059,0.566239,0.566411,0.566821,0.565481,0.566776
654.roms_s-293B,1.08293,1.08215,1.08567,1.08327,1.08396,1.08173,1.08216,1.0814
654.roms_s-294B,1.08628,1.08602,1.08638,1.08824,1.08672,1.08568,1.08806,1.0904
654.roms_s-523B,0.376321,0.370826,0.376854,0.37628,0.376859,0.374632,0.372646,0.3766
654.roms_s-1007B,0.470816,0.471003,0.470955,0.470643,0.470993,0.470753,0.470782,0.470746
654.roms_s-1070B,0.433689,0.44171,0.437679,0.441542,0.438223,0.442916,0.442895,0.442077
654.roms_s-1390B,0.350708,0.351314,0.348377,0.350393,0.351263,0.350937,0.349666,0.351196
657.xz_s-2302B,0.622173,0.620973,0.621459,0.621147,0.6221,0.621516,0.620328,0.620057
