,Baseline,Mirage
600.perlbench_s-570B,91.0145,79.5872
602.gcc_s-734B,99.7488,99.6918
602.gcc_s-1850B,99.9864,99.9585
602.gcc_s-2226B,99.9971,99.9978
603.bwaves_s-891B,100.0,99.9955
603.bwaves_s-1740B,100.0,99.9999
603.bwaves_s-2609B,100.0,99.9999
603.bwaves_s-2931B,93.9296,96.0227
605.mcf_s-472B,99.938,93.0694
605.mcf_s-484B,99.8474,97.3832
605.mcf_s-665B,80.8717,69.1724
605.mcf_s-1152B,93.6053,79.156
605.mcf_s-1536B,92.4093,87.79
605.mcf_s-1554B,99.7713,45.5695
607.cactuBSSN_s-2421B,88.2359,89.1512
607.cactuBSSN_s-3477B,62.3682,66.885
607.cactuBSSN_s-4004B,62.0558,66.5159
619.lbm_s-2676B,99.9999,95.6521
619.lbm_s-2677B,99.9994,95.6619
619.lbm_s-3766B,99.9995,95.6641
619.lbm_s-4268B,99.9983,95.6374
620.omnetpp_s-141B,80.3009,81.0504
620.omnetpp_s-874B,80.391,80.5031
621.wrf_s-6673B,91.5017,88.9862
621.wrf_s-8065B,90.9598,88.9624
623.xalancbmk_s-10B,98.2565,64.3177
623.xalancbmk_s-165B,98.6383,17.6622
623.xalancbmk_s-202B,88.0341,63.6143
625.x264_s-20B,78.5869,73.2854
627.cam4_s-490B,66.3091,56.9475
628.pop2_s-17B,73.8326,69.9371
649.fotonik3d_s-1176B,99.9839,99.9737
649.fotonik3d_s-7084B,99.9995,99.9972
649.fotonik3d_s-8225B,99.9983,99.9977
654.roms_s-293B,80.6287,88.1683
654.roms_s-294B,81.1724,88.131
654.roms_s-523B,99.944,99.3627
654.roms_s-1007B,99.4779,99.2816
654.roms_s-1070B,100.0,99.7991
654.roms_s-1390B,99.9486,99.6884
657.xz_s-2302B,83.0803,81.4678
bc-0,82.8271,73.2411
bc-3,83.9687,73.7895
bc-5,83.7756,68.6619
bc-12,82.0686,71.8283
bfs-3,94.3682,91.1288
bfs-8,97.7507,96.8203
bfs-10,94.7005,91.8685
bfs-14,98.2355,97.5386
cc-5,80.8113,61.7
cc-6,80.9132,61.7877
cc-13,80.8221,61.674
cc-14,80.8069,61.7918
pr-3,89.5638,59.1442
pr-5,89.5552,59.1365
pr-10,89.5442,59.1386
pr-14,89.554,59.1502
sssp-3,83.5271,69.9087
sssp-5,83.5395,69.8825
sssp-10,83.4621,69.8278
sssp-14,83.515,69.8766
