,0,1,2,3,4,5,6,7,Single Core IPC,Raw IPC,Weighted speedup
600.perlbench_s-570B,0.553748,0.554225,0.554705,0.553953,0.554991,0.554334,0.554762,0.553262,0.579656,4.43398,7.6493299474170895
602.gcc_s-734B,0.397951,0.397964,0.397887,0.397923,0.397954,0.397951,0.397954,0.397945,0.404079,3.1835289999999996,7.878481683037227
602.gcc_s-1850B,0.345288,0.345344,0.345308,0.345346,0.345328,0.345311,0.345306,0.345327,0.350897,2.762558,7.872845877850194
602.gcc_s-2226B,0.183549,0.182387,0.182707,0.182719,0.183531,0.182296,0.182022,0.18208,0.418969,1.4612910000000001,3.4878260682771285
603.bwaves_s-891B,0.439049,0.438241,0.435856,0.437219,0.438959,0.437915,0.436544,0.436208,0.777736,3.4999909999999996,4.500230155219766
603.bwaves_s-1740B,0.949942,0.947592,0.945626,0.947396,0.948188,0.947227,0.9452,0.944369,1.33061,7.57554,5.69328353161332
603.bwaves_s-2609B,0.948613,0.947751,0.947971,0.947929,0.947365,0.947473,0.945881,0.948864,1.33249,7.581847,5.689984164984352
603.bwaves_s-2931B,0.625546,0.626669,0.624266,0.627159,0.625699,0.626629,0.626363,0.625353,1.52917,5.007683999999999,3.274772589051577
605.mcf_s-472B,0.210223,0.213437,0.21024,0.213384,0.210142,0.210043,0.210079,0.210154,0.527845,1.6877019999999998,3.197343917248434
605.mcf_s-484B,0.271698,0.27189,0.271586,0.271536,0.271699,0.272051,0.271777,0.271785,0.517582,2.174022,4.2003431340348
605.mcf_s-665B,0.244033,0.244694,0.241982,0.241989,0.242018,0.248095,0.248072,0.24199,0.303641,1.952873,6.431519458834611
605.mcf_s-1152B,0.188266,0.188606,0.19077,0.1908,0.191077,0.187822,0.188479,0.18865,0.309873,1.51447,4.887389349830414
605.mcf_s-1536B,0.112723,0.112846,0.112978,0.112841,0.112961,0.112608,0.112813,0.112898,0.257247,0.902668,3.5089544290118058
605.mcf_s-1554B,0.123149,0.123159,0.123003,0.123707,0.123149,0.123343,0.12335,0.124315,0.634944,0.9871749999999999,1.5547434104424958
607.cactuBSSN_s-2421B,1.36928,1.39111,1.39583,1.42249,1.4043,1.4164,1.41274,1.40704,1.56818,11.219190000000001,7.1542743817674
607.cactuBSSN_s-3477B,1.18902,1.18816,1.18844,1.18881,1.18801,1.18884,1.18836,1.18954,1.19563,9.50918,7.953279860826511
607.cactuBSSN_s-4004B,1.1743,1.17359,1.17233,1.17289,1.17283,1.17282,1.17296,1.17167,1.18114,9.383389999999999,7.9443503733681
619.lbm_s-2676B,0.261677,0.262103,0.262254,0.262051,0.262318,0.261127,0.262194,0.261842,1.1879,2.095566,1.7640929371159189
619.lbm_s-2677B,0.120325,0.120094,0.120327,0.12035,0.120314,0.120401,0.120512,0.120222,0.558632,0.962545,1.7230394964842686
619.lbm_s-3766B,0.120875,0.120452,0.120805,0.120619,0.120527,0.120655,0.120714,0.120422,0.56084,0.9650690000000001,1.7207563654518223
619.lbm_s-4268B,0.121672,0.121136,0.121226,0.121349,0.121622,0.121377,0.121601,0.121519,0.561675,0.971502,1.7296514888503136
620.omnetpp_s-141B,0.190719,0.190611,0.190681,0.190958,0.190963,0.190968,0.190693,0.19061,0.234745,1.526203,6.501535708960787
620.omnetpp_s-874B,0.203625,0.203463,0.203328,0.203312,0.20419,0.203879,0.20389,0.203619,0.24621,1.6293060000000001,6.617545997319362
621.wrf_s-6673B,0.518816,0.519242,0.520002,0.517235,0.520466,0.520489,0.515469,0.51699,1.24902,4.148708999999999,3.3215713119085355
621.wrf_s-8065B,0.5212,0.52026,0.524558,0.519594,0.52464,0.524101,0.521627,0.521713,1.41156,4.177693,2.9596283544447277
623.xalancbmk_s-10B,0.203704,0.203956,0.203382,0.20398,0.203118,0.202933,0.203015,0.202908,0.355168,1.626996,4.5809194522029015
