,0,1,2,3,4,5,6,7,Single Core IPC,Raw IPC,Weighted speedup
600.perlbench_s-570B,0.554996,0.555403,0.555619,0.55548,0.556151,0.555867,0.556153,0.554324,0.575115,4.443993,7.727138050650739
602.gcc_s-734B,0.39891,0.398918,0.398089,0.39892,0.398846,0.39889,0.398883,0.398884,0.402174,3.19034,7.932735582111226
602.gcc_s-1850B,0.344864,0.344886,0.344883,0.344868,0.344902,0.344866,0.344884,0.344856,0.350481,2.759009,7.872064391507671
602.gcc_s-2226B,0.181464,0.181167,0.181428,0.180971,0.181207,0.180878,0.180475,0.180456,0.417909,1.4480460000000002,3.46497921796372
603.bwaves_s-891B,0.433045,0.43278,0.43388,0.432929,0.436413,0.434118,0.433446,0.43636,0.762433,3.4729710000000003,4.555116318417487
603.bwaves_s-1740B,0.936768,0.935906,0.937346,0.937922,0.936178,0.938843,0.937115,0.937805,1.32668,7.497883,5.651613802876352
603.bwaves_s-2609B,0.938862,0.938729,0.939366,0.939346,0.938032,0.940554,0.937427,0.936638,1.32866,7.508953999999999,5.651524091942258
603.bwaves_s-2931B,0.638327,0.637867,0.637589,0.638418,0.637038,0.636928,0.638617,0.637969,1.5018,5.102753,3.3977580237048874
605.mcf_s-472B,0.204387,0.204448,0.204502,0.204493,0.204352,0.204454,0.204494,0.204513,0.51485,1.635643,3.176931144993687
605.mcf_s-484B,0.274078,0.274195,0.273922,0.274175,0.274127,0.274314,0.274393,0.274127,0.490572,2.1933309999999997,4.470966545175835
605.mcf_s-665B,0.243684,0.242885,0.241762,0.24244,0.242779,0.245238,0.245521,0.242782,0.283589,1.9470910000000001,6.865890425933306
605.mcf_s-1152B,0.218395,0.218349,0.219313,0.220569,0.21932,0.217389,0.21762,0.218014,0.298995,1.7489690000000002,5.849492466429205
605.mcf_s-1536B,0.0951907,0.0953584,0.0953555,0.0954622,0.0954814,0.0952038,0.0953271,0.0953694,0.211237,0.7627485,3.6108659941203483
605.mcf_s-1554B,0.122474,0.122191,0.122445,0.122596,0.122055,0.122388,0.12169,0.122531,0.591179,0.97837,1.654947147987327
607.cactuBSSN_s-2421B,1.28164,1.19437,1.24952,1.16944,1.18525,1.18594,1.17323,1.19627,1.54061,9.63566,6.254444668021108
607.cactuBSSN_s-3477B,1.18076,1.18077,1.18194,1.18274,1.18153,1.18006,1.18289,1.18132,1.19048,9.45201,7.9396629930784215
607.cactuBSSN_s-4004B,1.16718,1.1652,1.16568,1.16586,1.16548,1.16612,1.16596,1.16652,1.17638,9.328,7.929410564613475
619.lbm_s-2676B,0.285217,0.285341,0.285581,0.285417,0.286768,0.285145,0.286948,0.286363,1.13352,2.28678,2.0174147787423244
619.lbm_s-2677B,0.131471,0.131563,0.130854,0.130864,0.131215,0.131342,0.131109,0.131483,0.533411,1.049901,1.9682777445534494
619.lbm_s-3766B,0.132206,0.131944,0.131556,0.131714,0.131896,0.131735,0.131306,0.131297,0.535818,1.053654,1.9664400971971827
619.lbm_s-4268B,0.132575,0.132579,0.132578,0.132811,0.132094,0.13221,0.132805,0.13233,0.535063,1.059982,1.9810414848344962
